Model Name,Price (USD),Release Date,Review Score (out of 5),Type,Power Consumption (W),Drum Capacity (kg),Energy Efficiency Rating (Stars)
Whirlpool WTW5000,699,2022-05-10,4.2,"Top-Load, Automatic",500,7.0,4
LG WM4000HWA,1099,2021-11-15,4.5,"Front-Load, Automatic",1200,8.5,5
Samsung WF45T6000,849,2023-02-20,4.3,"Front-Load, Automatic",1100,9.0,5
Bosch WAT28400UC,1149,2020-08-05,4.6,"Front-Load, Automatic",1050,8.0,5
Maytag MVW7232HW,999,2021-06-30,4.1,"Top-Load, Automatic",900,7.5,4
GE GTW,799,2022-09-18,4.0,"Top-Load, Semi-Automatic",600,6.5,3
Electrolux ELFW7637,1199,2023-07-22,4.7,"Front-Load, Automatic",1150,8.5,5
Haier HLP21N,299,2019-12-10,3.9,"Top-Load, Compact",350,6.0,3
Miele WXF 130 WCS,1599,2020-03-25,4.8,"Front-Load, Automatic",1250,9.5,5
Panasonic NA-F70A,450,2018-10-14,3.7,"Top-Load, Semi-Automatic",550,7.0,3
